CVE,CVSS Score,EPSS,Description,Published,Source
CVE-1999-0103,0.0,0.87549,"Echo and chargen, or other combinations of UDP services, can be used in tandem to flood the server, a.k.a. UDP bomb or UDP packet storm.",1996-02-08 05:00:00.000,Metasploit
CVE-1999-0170,0.0,0.00727,"Remote attackers can mount an NFS file system in Ultrix or OSF, even if it is denied on the access list.",1997-01-01 05:00:00.000,Metasploit
CVE-1999-0191,0.0,0.96782,IIS newdsn.exe CGI script allows remote users to overwrite files.,1997-09-01 04:00:00.000,EPSS
CVE-1999-0209,0.0,0.55777,The SunView (SunTools) selection_svc facility allows remote users to read files.,1990-08-14 04:00:00.000,Metasploit
CVE-1999-0256,0.0,0.96207,Buffer overflow in War FTP allows remote execution of commands.,1998-02-01 05:00:00.000,Metasploit/EPSS
CVE-1999-0502,0.0,0.01297,"A Unix account has a default, null, blank, or missing password.",1998-03-01 05:00:00.000,Metasploit
CVE-1999-0504,0.0,0.00546,"A Windows NT local user or administrator account has a default, null, blank, or missing password.",1997-01-01 05:00:00.000,Metasploit
CVE-1999-0506,0.0,0.00084,"A Windows NT domain user or administrator account has a default, null, blank, or missing password.",1998-10-01 04:00:00.000,Metasploit
CVE-1999-0508,0.0,0.00042,"An account on a router, firewall, or other network device has a default, null, blank, or missing password.",1998-06-01 04:00:00.000,Metasploit
CVE-1999-0516,0.0,0.015,An SNMP community name is guessable.,1998-08-01 04:00:00.000,Metasploit
CVE-1999-0517,0.0,0.45448,"An SNMP community name is the default (e.g. public), null, or missing.",1997-01-01 05:00:00.000,Metasploit
CVE-1999-0526,0.0,0.80735,"An X server's access control is disabled (e.g. through an ""xhost +"" command) and allows anyone to connect to the server.",1997-07-01 04:00:00.000,Metasploit
CVE-1999-0531,0.0,0.03276,"Rejected reason: DO NOT USE THIS CANDIDATE NUMBER.  ConsultIDs: None.  Reason: this candidate is solely about a configuration that does not directly introduce security vulnerabilities, so it is more appropriate to cover under the Common Configuration Enumeration (CCE).  Notes: the former description is: ""An SMTP service supports EXPN, VRFY, HELP, ESMTP, and/or EHLO.",1999-01-01 05:00:00.000,Metasploit
CVE-1999-0532,0.0,0.97542,A DNS server allows zone transfers.,1997-07-01 04:00:00.000,Metasploit/EPSS
CVE-1999-0554,0.0,0.015,"NFS exports system-critical data to the world, e.g. / or a password file.",1999-01-01 05:00:00.000,Metasploit
CVE-1999-0612,0.0,0.96044,A version of finger is running that exposes valid user information to any entity on the network.,1997-03-01 05:00:00.000,EPSS
CVE-1999-0651,0.0,0.015,The rsh/rlogin service is running.,1999-01-01 05:00:00.000,Metasploit
CVE-1999-0667,0.0,0.0069,The ARP protocol allows any host to spoof ARP replies and poison the ARP cache to conduct IP address spoofing or a denial of service.,1997-09-19 04:00:00.000,Metasploit
CVE-1999-0815,0.0,0.95369,Memory leak in SNMP agent in Windows NT 4.0 before SP5 allows remote attackers to conduct a denial of service (memory exhaustion) via a large number of queries.,1999-12-31 05:00:00.000,EPSS
CVE-1999-0874,0.0,0.90742,"Buffer overflow in IIS 4.0 allows remote attackers to cause a denial of service via a malformed request for files with .HTR, .IDC, or .STM extensions.",1999-06-16 04:00:00.000,Metasploit
CVE-1999-1011,0.0,0.68331,"The Remote Data Service (RDS) DataFactory component of Microsoft Data Access Components (MDAC) in IIS 3.x and 4.x exposes unsafe methods, which allows remote attackers to execute arbitrary commands.",1999-07-19 04:00:00.000,Metasploit
CVE-1999-1035,0.0,0.96423,"IIS 3.0 and 4.0 on x86 and Alpha allows remote attackers to cause a denial of service (hang) via a malformed GET request, aka the IIS ""GET"" vulnerability.",1999-12-31 05:00:00.000,EPSS
CVE-1999-1053,0.0,0.96008,"guestbook.pl cleanses user-inserted SSI commands by removing text between ""<!--"" and ""-->"" separators, which allows remote attackers to execute arbitrary commands when guestbook.pl is run on Apache 1.3.9 and possibly other versions, since Apache allows other closing sequences besides ""-->"".",1999-09-13 04:00:00.000,Metasploit/EPSS
CVE-1999-1148,0.0,0.96423,FTP service in IIS 4.0 and earlier allows remote attackers to cause a denial of service (resource exhaustion) via many passive (PASV) connections at the same time.,1999-12-31 05:00:00.000,EPSS
CVE-1999-1451,0.0,0.96506,The Winmsdp.exe sample file in IIS 4.0 and Site Server 3.0 allows remote attackers to read arbitrary files.,1999-12-31 05:00:00.000,EPSS
CVE-1999-1510,0.0,0.94463,"Buffer overflows in Bisonware FTP server prior to 4.1 allow remote attackers to cause a denial of service, and possibly execute arbitrary commands, via long (1) USER, (2) LIST, or (3) CWD commands.",1999-05-17 04:00:00.000,Metasploit
CVE-2000-0098,0.0,0.96377,Microsoft Index Server allows remote attackers to determine the real path for a web directory via a request to an Internet Data Query file that does not exist.,2000-01-26 05:00:00.000,EPSS
CVE-2000-0114,0.0,0.15958,Frontpage Server Extensions allows remote attackers to determine the name of the anonymous account via an RPC POST request to shtml.dll in the /_vti_bin/ virtual directory.,2000-02-02 05:00:00.000,Nuclei
CVE-2000-0126,0.0,0.95606,Sample Internet Data Query (IDQ) scripts in IIS 3 and 4 allow remote attackers to read files via a .. (dot dot) attack.,2000-01-26 05:00:00.000,EPSS
CVE-2000-0246,0.0,0.95864,"IIS 4.0 and 5.0 does not properly perform ISAPI extension processing if a virtual directory is mapped to a UNC share, which allows remote attackers to read the source code of ASP and other files, aka the ""Virtualized UNC Share"" vulnerability.",2000-03-30 05:00:00.000,EPSS
CVE-2000-0248,0.0,0.00511,The web GUI for the Linux Virtual Server (LVS) software in the Red Hat Linux Piranha package has a backdoor password that allows remote attackers to execute arbitrary commands.,2000-04-24 04:00:00.000,Metasploit
CVE-2000-0284,0.0,0.92003,Buffer overflow in University of Washington imapd version 4.7 allows users with a valid account to execute commands via LIST or other commands.,2000-04-16 04:00:00.000,Metasploit
CVE-2000-0302,0.0,0.96678,Microsoft Index Server allows remote attackers to view the source code of ASP files by appending a %20 to the filename in the CiWebHitsFile argument to the null.htw URL.,2000-03-31 05:00:00.000,EPSS
CVE-2000-0322,0.0,0.03885,The passwd.php3 CGI script in the Red Hat Piranha Virtual Server Package allows local users to execute arbitrary commands via shell metacharacters.,2000-04-24 04:00:00.000,Metasploit
CVE-2000-0380,0.0,0.95969,The IOS HTTP service in Cisco routers and switches running IOS 11.1 through 12.1 allows remote attackers to cause a denial of service by requesting a URL that contains a %% string.,2000-04-26 04:00:00.000,Metasploit/EPSS
CVE-2000-0402,0.0,0.73207,"The Mixed Mode authentication capability in Microsoft SQL Server 7.0 stores the System Administrator (sa) account in plaintext in a log file which is readable by any user, aka the ""SQL Server 7.0 Service Pack Password"" vulnerability.",2000-05-30 04:00:00.000,Metasploit
CVE-2000-0573,0.0,0.96864,"The lreply function in wu-ftpd 2.6.0 and earlier does not properly cleanse an untrusted format string, which allows remote attackers to execute arbitrary commands via the SITE EXEC command.",2000-07-07 04:00:00.000,Metasploit/EPSS
CVE-2000-0649,0.0,0.01326,IIS 4.0 allows remote attackers to obtain the internal IP address of the server via an HTTP 1.0 request for a web page which is protected by basic authentication and has no realm defined.,2000-07-13 04:00:00.000,Metasploit
CVE-2000-0665,0.0,0.09402,GAMSoft TelSrv telnet server 1.5 and earlier allows remote attackers to cause a denial of service via a long username.,2000-07-17 04:00:00.000,Metasploit
CVE-2000-0760,0.0,0.19166,The Snoop servlet in Jakarta Tomcat 3.1 and 3.0 under Apache reveals sensitive system information when a remote attacker requests a nonexistent URL with a .snp extension.,2000-10-20 04:00:00.000,Nuclei
CVE-2000-0778,0.0,0.97094,"IIS 5.0 allows remote attackers to obtain source code for .ASP files and other scripts via an HTTP GET request with a ""Translate: f"" header, aka the ""Specialized Header"" vulnerability.",2000-10-20 04:00:00.000,EPSS
CVE-2000-0917,0.0,0.96257,Format string vulnerability in use_syslog() function in LPRng 3.6.24 allows remote attackers to execute arbitrary commands.,2000-12-19 05:00:00.000,Metasploit/EPSS
CVE-2000-0945,0.0,0.96955,"The web configuration interface for Catalyst 3500 XL switches allows remote attackers to execute arbitrary commands without authentication when the enable password is not set, via a URL containing the /exec/ directory.",2000-12-19 05:00:00.000,Metasploit/EPSS
CVE-2000-1089,0.0,0.96783,"Buffer overflow in Microsoft Phone Book Service allows local users to execute arbitrary commands, aka the ""Phone Book Service Buffer Overflow"" vulnerability.",2001-01-09 05:00:00.000,Metasploit/EPSS
CVE-2000-1209,0.0,0.7696,"The ""sa"" account is installed with a default null password on (1) Microsoft SQL Server 2000, (2) SQL Server 7.0, and (3) Data Engine (MSDE) 1.0, including third party packages that use these products such as (4) Tumbleweed Secure Mail (MMS) (5) Compaq Insight Manager, and (6) Visio 2000, which allows remote attackers to gain privileges, as exploited by worms such as Voyager Alpha Force and Spida.",2002-08-12 04:00:00.000,Metasploit
CVE-2001-0152,0.0,0.00078,"The password protection option for the Compressed Folders feature in Plus! for Windows 98 and Windows Me writes password information to a file, which allows local users to recover the passwords and read the compressed folders.",2001-05-03 04:00:00.000,Metasploit
CVE-2001-0167,0.0,0.47906,Buffer overflow in AT&T WinVNC (Virtual Network Computing) client 3.3.3r7 and earlier allows remote attackers to execute arbitrary commands via a long rfbConnFailed packet with a long reason string.,2001-05-03 04:00:00.000,Metasploit
CVE-2001-0168,0.0,0.43825,Buffer overflow in AT&T WinVNC (Virtual Network Computing) server 3.3.3r7 and earlier allows remote attackers to execute arbitrary commands via a long HTTP GET request when the DebugLevel registry key is greater than 0.,2001-05-03 04:00:00.000,Metasploit
CVE-2001-0241,0.0,0.94706,Buffer overflow in Internet Printing ISAPI extension in Windows 2000 allows remote attackers to gain root privileges via a long print request that is passed to the extension through IIS 5.0.,2001-06-27 04:00:00.000,Metasploit
CVE-2001-0311,0.0,0.00101,Vulnerability in OmniBackII A.03.50 in HP 11.x and earlier allows attackers to gain unauthorized access to an OmniBack client.,2001-06-02 04:00:00.000,Metasploit
CVE-2001-0333,0.0,0.08497,"Directory traversal vulnerability in IIS 5.0 and earlier allows remote attackers to execute arbitrary commands by encoding .. (dot dot) and ""\"" characters twice.",2001-06-27 04:00:00.000,Metasploit
CVE-2001-0414,0.0,0.90345,Buffer overflow in ntpd ntp daemon 4.0.99k and earlier (aka xntpd and xntp3) allows remote attackers to cause a denial of service and possibly execute arbitrary commands via a long readvar argument.,2001-06-18 04:00:00.000,Metasploit
CVE-2001-0499,0.0,0.10637,"Buffer overflow in Transparent Network Substrate (TNS) Listener in Oracle 8i 8.1.7 and earlier allows remote attackers to gain privileges via a long argument to the commands (1) STATUS, (2) PING, (3) SERVICES, (4) TRC_FILE, (5) SAVE_CONFIG, or (6) RELOAD.",2001-07-21 04:00:00.000,Metasploit
CVE-2001-0500,0.0,0.96103,"Buffer overflow in ISAPI extension (idq.dll) in Index Server 2.0 and Indexing Service 2000 in IIS 6.0 beta and earlier allows remote attackers to execute arbitrary commands via a long argument to Internet Data Administration (.ida) and Internet Data Query (.idq) files such as default.ida, as commonly exploited by Code Red.",2001-07-21 04:00:00.000,Metasploit/EPSS
CVE-2001-0537,0.0,0.93675,"HTTP server for Cisco IOS 11.3 to 12.2 allows attackers to bypass authentication and execute arbitrary commands, when local authorization is being used, by specifying a high access level in the URL.",2001-07-21 04:00:00.000,Metasploit/Nuclei
CVE-2001-0727,0.0,0.9606,"Internet Explorer 6.0 allows remote attackers to execute arbitrary code by modifying the Content-Disposition and Content-Type header fields in a way that causes Internet Explorer to believe that the file is safe to open without prompting the user, aka the ""File Execution Vulnerability.""",2001-12-14 05:00:00.000,EPSS
CVE-2001-0797,0.0,0.97027,Buffer overflow in login in various System V based operating systems allows remote attackers to execute arbitrary commands via a large number of arguments through services such as telnet and rlogin.,2001-12-12 05:00:00.000,Metasploit/EPSS
CVE-2001-0800,0.0,0.96705,lpsched in IRIX 6.5.13f and earlier allows remote attackers to execute arbitrary commands via shell metacharacters.,2001-12-06 05:00:00.000,Metasploit/EPSS
CVE-2001-0803,0.0,0.68095,Buffer overflow in the client connection routine of libDtSvc.so.1 in CDE Subprocess Control Service (dtspcd) allows remote attackers to execute arbitrary commands.,2001-12-06 05:00:00.000,Metasploit
CVE-2001-0876,0.0,0.9514,"Buffer overflow in Universal Plug and Play (UPnP) on Windows 98, 98SE, ME, and XP allows remote attackers to execute arbitrary code via a NOTIFY directive with a long Location URL.",2001-12-20 05:00:00.000,EPSS
CVE-2001-1013,0.0,0.1227,"Apache on Red Hat Linux with with the UserDir directive enabled generates different error codes when a username exists and there is no public_html directory and when the username does not exist, which could allow remote attackers to determine valid usernames on the server.",2001-09-12 04:00:00.000,Metasploit
CVE-2001-1320,0.0,0.65189,"Network Associates PGP Keyserver 7.0 allows remote attackers to cause a denial of service (crash) and possibly execute arbitrary code via exceptional BER encodings (possibly buffer overflows), as demonstrated by the PROTOS LDAPv3 test suite.",2001-07-16 04:00:00.000,Metasploit
CVE-2001-1473,0.0,0.00258,"The SSH-1 protocol allows remote servers to conduct man-in-the-middle attacks and replay a client challenge response to a target server by creating a Session ID that matches the Session ID of the target, but which uses a public key pair that is weaker than the target's public key, which allows the attacker to compute the corresponding private key and use the target's Session ID with the compromised key pair to masquerade as the target.",2001-01-18 05:00:00.000,Nuclei
CVE-2001-1583,0.0,0.40886,lpd daemon (in.lpd) in Solaris 8 and earlier allows remote attackers to execute arbitrary commands via a job request with a crafted control file that is not properly handled when lpd invokes a mail program. NOTE: this might be the same vulnerability as CVE-2000-1220.,2001-12-31 05:00:00.000,Metasploit
CVE-2002-0073,0.0,0.96496,"The FTP service in Internet Information Server (IIS) 4.0, 5.0 and 5.1 allows attackers who have established an FTP session to cause a denial of service via a specially crafted status request containing glob characters.",2002-04-22 04:00:00.000,EPSS
CVE-2002-0079,0.0,0.9633,Buffer overflow in the chunked encoding transfer mechanism in Internet Information Server (IIS) 4.0 and 5.0 Active Server Pages allows attackers to cause a denial of service or execute arbitrary code.,2002-04-22 04:00:00.000,EPSS
CVE-2002-0186,0.0,0.96631,"Buffer overflow in the SQLXML ISAPI extension of Microsoft SQL Server 2000 allows remote attackers to execute arbitrary code via data queries with a long content-type parameter, aka ""Unchecked Buffer in SQLXML ISAPI Extension.""",2002-07-03 04:00:00.000,EPSS
CVE-2002-0228,0.0,0.9623,"Microsoft MSN Messenger allows remote attackers to use Javascript that references an ActiveX object to obtain sensitive information such as display names and web site navigation, and possibly more when the user is connected to certain Microsoft sites (or DNS-spoofed sites).",2002-05-16 04:00:00.000,EPSS
CVE-2002-0367,7.8,0.02789,"smss.exe debugging subsystem in Windows NT and Windows 2000 does not properly authenticate programs that connect to other programs, which allows local users to gain administrator or SYSTEM privileges by duplicating a handle to a privileged process, as demonstrated by DebPloit.",2002-06-25 04:00:00.000,CISA
CVE-2002-0392,0.0,0.78735,"Apache 1.3 through 1.3.24, and Apache 2.0 through 2.0.36, allows remote attackers to cause a denial of service and possibly execute arbitrary code via a chunk-encoded HTTP request that causes Apache to use an incorrect size.",2002-07-03 04:00:00.000,Metasploit
CVE-2002-0421,0.0,0.96886,"IIS 4.0 allows local users to bypass the ""User cannot change password"" policy for Windows NT by directly calling .htr password changing programs in the /iisadmpwd directory, including (1) aexp2.htr, (2) aexp2b.htr, (3) aexp3.htr , or (4) aexp4.htr.",2002-08-12 04:00:00.000,EPSS
CVE-2002-0422,0.0,0.00974,"IIS 5 and 5.1 supporting WebDAV methods allows remote attackers to determine the internal IP address of the system (which may be obscured by NAT) via (1) a PROPFIND HTTP request with a blank Host header, which leaks the address in an HREF property in a 207 Multi-Status response, or (2) via the WRITE or MKCOL method, which leaks the IP in the Location server header.",2002-08-12 04:00:00.000,Metasploit
CVE-2002-0597,0.0,0.9609,LANMAN service on Microsoft Windows 2000 allows remote attackers to cause a denial of service (CPU/memory exhaustion) via a stream of malformed data to microsoft-ds port 445.,2002-06-18 04:00:00.000,EPSS
CVE-2002-0642,0.0,0.97424,"The registry key containing the SQL Server service account information in Microsoft SQL Server 2000, including Microsoft SQL Server Desktop Engine (MSDE) 2000, has insecure permissions, which allows local users to gain privileges, aka ""Incorrect Permission on SQL Server Service Account Registry Key.""",2002-07-23 04:00:00.000,EPSS
CVE-2002-0643,0.0,0.96892,"The installation of Microsoft Data Engine 1.0 (MSDE 1.0), and Microsoft SQL Server 2000 creates setup.iss files with insecure permissions and does not delete them after installation, which allows local users to obtain sensitive data, including weakly encrypted passwords, to gain privileges, aka ""SQL Server Installation Process May Leave Passwords on System.""",2002-07-23 04:00:00.000,EPSS
